date,owner,ticker,asset_description,asset_type,type,amount,senator,period_end,period_start,close,max/min,perc_off
2021-01-05,Self,CRSP,CRISPR Therapeutics AG,Stock,Sale (Partial),"$1,001 - $15,000",James M Inhofe,2021-02-10,2020-10-06,160.6199951171875,210.0399932861328,23.52885152763338
2020-12-31,Spouse,UNH,UnitedHealth Group Incorporated,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,2021-02-10,2020-10-01,350.67999267578125,302.59130859375,15.892288613812653
2020-12-31,Spouse,PSX,Phillips 66,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,2021-02-10,2020-10-01,69.94000244140625,43.542701721191406,60.623938517273444
2020-12-31,Spouse,AMT,American Tower Corporation (REIT),Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,2021-02-10,2020-10-01,224.4600067138672,214.88999938964844,4.453444716552852
2020-12-31,Spouse,SYY,Sysco Corporation,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,2021-02-10,2020-10-01,73.82030487060547,78.37000274658203,5.805407319798761
2020-12-31,Spouse,PII,Polaris Inc.,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,2021-02-10,2020-10-01,95.27999877929688,123.68000030517578,22.962485006308995
2020-12-31,Spouse,OTIS,Otis Worldwide Corporation,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,2021-02-10,2020-10-01,67.55000305175781,67.77999877929689,0.33932683930547114
2020-12-31,Spouse,XOM,Exxon Mobil Corporation,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,2021-02-10,2020-10-01,40.531681060791016,51.22999954223633,20.88291738637463
2020-12-31,Spouse,CLX,The Clorox Company,Stock,Sale (Partial),"$1,001 - $15,000",Shelley M Capito,2021-02-10,2020-10-01,200.8625640869141,222.17999267578125,9.594666167792553
2020-12-31,Self,CARR,Carrier Global Corporation,Stock,Sale (Full),"$1,001 - $15,000",Shelley M Capito,2021-02-10,2020-10-01,37.72000122070313,41.7400016784668,9.631050062553157
2020-12-16,Spouse,DNKN,"Dunkin' Brands Group, Inc.",Stock,Sale (Full),"$50,001 - $100,000",Susan M Collins,2021-02-10,2020-09-16,106.4800033569336,106.4800033569336,0.0
2020-12-30,Spouse,TSLA,"Tesla, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-09-30,694.780029296875,388.0400085449219,79.04855530288523
